date,league,match,kickoff_hkt,market_line,selection,odds,stake_u,model_prob,fair_odds,edge_pct,book,result,pnl_u,clv_odds,notes
2026-09-14,EPL,Leeds vs Newcastle,2026-09-15 03:00,AH 0/-0.5,PASS (Leeds 0/-0.5 looked),1.95,0,0.43,2.33,-3.7,HKJC,Pass (FT 4-1 LEE; AH shadow: Leeds 0/-0.5 would W),0,,Statz/mkt-aligned EV≈-3.7%; optimistic lean only +5.1%. Both sides no clear edge. xG Lab n=3; Understat N/A. Shadow for CLV. | FT Leeds 4-1 Newcastle. No CLV close captured.
2026-09-14,EPL,Leeds vs Newcastle,2026-09-15 03:00,Corners O/U 10.5|11.5|13.5; LEE team 5.5|6.5,PASS (all corners lines),,0,,,,HKJC,"Pass (corners 5-5, total 10)",0,,Experiment corners. λ_total~9.9-10.3; λ_LEE~4.5-5.0. FT corners LEE5 NEW5 total10. Shadow: U10.5/U11.5/U13.5 would W; LEE U5.5/U6.5 would W; all Overs L. Pre-match edge not robust ≥8% so Pass correct process. Sources BBC/ESPN.
2026-09-19,EPL,Tottenham vs Aston Villa,2026-09-19 19:30,AH -0.5/-1,PASS (Spurs -0.5/-1 & Villa +0.5/+1 looked),2.14/1.72,0,,,-8 to -12 / 0 to +3,HKJC,Pass,0,,Opta-cal Spurs AH clearly -EV; Villa paper edge not robust ≥5%. Both attack drought. Pre-match.
2026-09-19,EPL,Tottenham vs Aston Villa,2026-09-19 19:30,Corners O/U 10.5|11.5|14.5 + team,PASS (all corners),,0,,,,HKJC,Pass,0,,λ_total uncertain 10.0-10.5 (Spurs high vs Villa low season corners). No stable ≥8% edge.
2026-09-19,EPL,Brighton vs Arsenal,2026-09-19 22:00,AH -0.5/-1,PASS (ARS -0.5/-1 & BHA +0.5/+1 looked),1.83/1.99,0,,,-4 to -8 / -4 to 0,HKJC,Pass (FT 3-0 BHA),0,,HKJC 1X2 de-vig ARS~57%. -0.5/-1 juice eats cover. BHA attackers out. Pre-match. | FT Brighton 3-0 Arsenal. Corners 5-6 (tot11). Shadow: ARS -0.5/-1 would L.
2026-09-19,EPL,Brighton vs Arsenal,2026-09-19 22:00,Corners O/U 9.5|10.5|13.5; BHA team 3.5,PASS (all corners),,0,,,,HKJC,Pass (FT corners 5-6 tot11),0,,λ_total~9.0-10.0 (BHA high vs ARS away low corners). No stable ≥8%. BHA team O3.5 paper-nice if λ≥5 but ARS away corners-against low → unstable. | Tot11: O9.5/O10.5 would W; BHA team 5 vs 3.5 O would W. We Passed.
2026-09-19,EPL,Everton vs Ipswich,2026-09-19 22:00,AH -0.5/-1,PASS (EVE -0.5/-1 & IPS +0.5/+1 looked),1.98/1.84,0,,,-6 to -10 / -2 to +2,HKJC,Pass (FT 1-0 EVE),0,,"HKJC de-vig EVE~54%. -0.5/-1 not enough juice for 1-0 covers. Midweek cup, 3-day rest EVE. Pre-match. | FT Everton 1-0 Ipswich (Barry 11; Fatawu red 67). Corners 4-4. Shadow: EVE -0.5/-1 half-win if bet."
2026-09-19,EPL,Everton vs Ipswich,2026-09-19 22:00,Corners O/U 10.5|11.5|13.5; EVE team 5.5,PASS (all corners),,0,,,,HKJC,Pass (FT corners 4-4 tot8),0,,Early-season λ_total~9-10; line 10.5 slightly high so Under lean but not robust ≥8% (λ=9.5 → ~+4%). EVE team U5.5 borderline. Shadow candidate U10.5 only. | Tot8: U10.5 would W (our near-miss shadow).
2026-09-19,EPL,Newcastle vs Hull,2026-09-19 22:00,AH -1,Hull +1,1.80,0.5,,,+4 to +10,HKJC,Push (FT 2-1 NEW; Hull lose by 1),0,,"FT Newcastle 2-1 Hull (Willock 3, Hall 7; Kioso 67). Hull +1 @1.80 0.5u PUSH. Corners NEW4 HUL7."
2026-09-19,EPL,Newcastle vs Hull,2026-09-19 22:00,NEW team corners U6.5,Newcastle team corners Under 6.5,1.82,0.25,,,+25 to +50 (λ~4.5-5.5),HKJC,W (NEW corners 4),+0.205,,FT NEW corners 4 ≤6. U6.5 @1.82 0.25u → +0.25*(1.82-1)=+0.205u. Hull corners 7.
